num,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,sort
3186,-0.4999,-0.5011,0.6742,0.6571,-0.0534,-0.042,0.0148,0.0213,-0.041,-0.0477,-0.0144,-0.003,0.0476,0.0397,-0.0117,-0.0166,0.0469,0.0294,0.0198,0.0291,0.0502,0.0498,0.0012,-0.0048,-0.0053,0.0064,0.0119,0.0085,2
3187,-0.4994,-0.5016,0.6958,0.6551,-0.0553,-0.041,0.0187,0.0183,-0.0384,-0.0531,-0.0154,-0.0045,0.042,0.0389,-0.0084,-0.0124,0.0425,0.0254,0.0189,0.026,0.049,0.0519,0.0034,-0.004,-0.0059,-0.0006,0.01,0.008,2
3188,-0.4999,-0.5013,0.6571,0.6558,-0.0463,-0.0415,0.0161,0.0235,-0.0385,-0.0525,-0.0141,-0.0044,0.039,0.0431,-0.0077,-0.0151,0.0353,0.0234,0.0197,0.0279,0.0459,0.0514,-0.0007,-0.0077,-0.0061,0.0038,0.0109,0.0088,2
3189,-0.5003,-0.5005,0.6632,0.6572,-0.0512,-0.0417,0.016,0.02,-0.0368,-0.0504,-0.0172,-0.0044,0.0419,0.0403,-0.0092,-0.0171,0.0374,0.0288,0.0195,0.0293,0.0469,0.0503,0.0019,-0.0048,-0.0057,0.0068,0.0076,0.0088,2
3190,-0.5,-0.5011,0.6847,0.657,-0.0489,-0.0399,0.0195,0.0195,-0.0407,-0.0453,-0.0141,-0.0009,0.0417,0.0401,-0.0114,-0.0078,0.039,0.0308,0.0193,0.0333,0.0451,0.0512,-0.004,-0.0052,-0.0053,0.0038,0.0104,0.0089,2
3191,-0.4995,-0.5014,0.6627,0.6596,-0.049,-0.0402,0.0163,0.0153,-0.04,-0.0447,-0.0163,-0.0013,0.0389,0.039,-0.0107,-0.0274,0.0403,0.027,0.0206,0.0332,0.0419,0.0508,0.0013,-0.0083,-0.0035,0.0033,0.0114,0.0091,2
3192,-0.5,-0.5013,0.6508,0.6556,-0.0514,-0.0404,0.0149,0.0191,-0.0389,-0.05,-0.0154,-0.0032,0.0418,0.038,-0.01,-0.015,0.0381,0.0355,0.0172,0.0276,0.0484,0.0514,0.0012,-0.0103,-0.0046,0.0044,0.0075,0.0079,2
3193,-0.5001,-0.5004,0.6824,0.6512,-0.0489,-0.0398,0.0179,0.0193,-0.0383,-0.0511,-0.0131,-0.003,0.0443,0.0404,-0.0124,-0.0176,0.0368,0.0286,0.0196,0.0311,0.0491,0.0487,-0.0054,-0.0045,-0.0048,0.0037,0.011,0.0098,2
3194,-0.5,-0.5011,0.675,0.6528,-0.0514,-0.0396,0.0107,0.0241,-0.0385,-0.047,-0.0149,-0.0018,0.0403,0.0443,-0.0071,-0.0142,0.0416,0.0301,0.018,0.0324,0.0529,0.0509,-0.0027,-0.0058,-0.0058,-0.0051,0.0052,0.0098,2
3195,-0.4992,-0.5012,0.6617,0.6619,-0.0505,-0.0402,0.0203,0.0262,-0.0432,-0.0408,-0.0148,-0.0021,0.0439,0.0425,-0.0099,-0.0146,0.0387,0.0306,0.0186,0.0366,0.0449,0.0499,-0.0003,-0.0043,-0.0059,0.0027,0.0102,0.0083,2
